Supplementary Table 2 217 genes which related to key processes in glioma patients.,,,
Gene,Key process or pathway,PMID,Training set
RIN2,Endocytosis,34552618,TCGA+GTEx
MARCKSL1,Endocytosis,34552618,TCGA+GTEx
RAB13,Endocytosis,34552618,TCGA+GTEx
VAV2,Endocytosis,34552618,TCGA+GTEx
PKP4,Endocytosis,34552618,TCGA+GTEx
PLIN3,Endocytosis,34552618,TCGA+GTEx
LAPTM5,Endocytosis,34552618,TCGA+GTEx
PIK3R1,Endocytosis,34552618,TCGA+GTEx
FPR1,Endocytosis,34552618,TCGA+GTEx
RIN1,Endocytosis,34552618,TCGA+GTEx
SNX10,Endocytosis,34552618,TCGA+GTEx
VAMP8,Endocytosis,34552618,TCGA+GTEx
RAP2A,Endocytosis,34552618,TCGA+GTEx
RND2,Endocytosis,34552618,TCGA+GTEx
ADCYAP1R1,Enhancer RNA,35127714,TCGA
BMPR1A,Enhancer RNA,35127714,TCGA
CD4,Enhancer RNA,35127714,TCGA
DDX17,Enhancer RNA,35127714,TCGA
ELN,Enhancer RNA,35127714,TCGA
MAPT,Enhancer RNA,35127714,TCGA
PDIA2,Enhancer RNA,35127714,TCGA
PSMB8,Enhancer RNA,35127714,TCGA
PTPN6,Enhancer RNA,35127714,TCGA
SEMA6C,Enhancer RNA,35127714,TCGA
SSTR5,Enhancer RNA,35127714,TCGA
ABCC3,Fibroblasts,34778248,CGGA693+CGGA325
PDLIM1,Fibroblasts,34778248,CGGA693+CGGA325
CHI3L2,Fibroblasts,34778248,CGGA693+CGGA325
MSR1,Fibroblasts,34778248,CGGA693+CGGA325
ITGA2,Fibroblasts,34778248,CGGA693+CGGA325
COL4A1,Focal Adhesion,34631528,CGGA693
ITGB4,Focal Adhesion,34631528,CGGA693
MAPK10,Focal Adhesion,34631528,CGGA693
PRKCG,Focal Adhesion,34631528,CGGA693
RELN,Focal Adhesion,34631528,CGGA693
TNC,Focal Adhesion,34631528,CGGA693
EGFR,Glutamatergic Synapse,34776862,TCGA
CCR2,Glutamatergic Synapse,34776862,TCGA
SHANK2,Glutamatergic Synapse,34776862,TCGA
OXTR,Glutamatergic Synapse,34776862,TCGA
GRIK2,Glutamatergic Synapse,34776862,TCGA
TNR,Glutamatergic Synapse,34776862,TCGA
KMO,Glutamatergic Synapse,34776862,TCGA
DRD2,Glutamatergic Synapse,34776862,TCGA
ADORA1,Glutamatergic Synapse,34776862,TCGA
GRIK3,Glutamatergic Synapse,34776862,TCGA
HDAC1,HDAC Family,34540896,TCGA+CGGA693
RUNX1T1,HDAC Family,34540896,TCGA+CGGA693
FKBP3,HDAC Family,34540896,TCGA+CGGA693
PHF21A,HDAC Family,34540896,TCGA+CGGA693
ALDH3B1,Hypoxia,35155681,TCGA
CTSZ,Hypoxia,35155681,TCGA
PSMB6,Hypoxia,34868920,TCGA
PSMD9,Hypoxia,34868920,TCGA
UBB,Hypoxia,34868920,TCGA
PSMD12,Hypoxia,34868920,TCGA
PSMB10,Hypoxia,34868920,TCGA
PSMD14,Hypoxia,34868920,TCGA
RFC2,Immunity,35210438,TCGA+GTEx
CORO1A,Immunity,35203944,CGGA325
FASN,Immunity,35203944,CGGA325
HSPA5,Immunity,35203944,CGGA325
IL2RG,Immunity,35203944,CGGA325
LEF1,Immunity,35203944,CGGA325
MCM2,Immunity,35203944,CGGA325
NFIL3,Immunity,35203944,CGGA325
PML,Immunity,35203944,CGGA325
RPL3,Immunity,35203944,CGGA325
TUBA1B,Immunity,35203944,CGGA325
BMP2,Immunity,35186111,TCGA
F2R,Immunity,35186111,TCGA
FGF13,Immunity,35186111,TCGA
PCSK1,Immunity,35186111,TCGA
PRKCB,Immunity,35186111,TCGA
PTGER3,Immunity,35186111,TCGA
ADM2,Immunity,34961815,CGGA693
BMP8B,Immunity,34961815,CGGA693
CCL25,Immunity,34961815,CGGA693
PIK3R3,Immunity,34961815,CGGA693
SSTR2,Immunity,34961815,CGGA693
IGFBP2,Immunity,34805164,TCGA
PLAT,Immunity,34805164,TCGA
TOP2A,Immunity,34805164,TCGA
ACTN1,Immunity,34805164,TCGA
LGALS3,Immunity,34805164,TCGA
BGN,Immunity,34805164,TCGA
FMOD,Immunity,34805164,TCGA
FABP5,Immunity,34805164,TCGA
BCAT1,Immunity,34805164,TCGA
COL1A2,Immunity,34805164,TCGA
CHRNA1,Immunity,34455959,TCGA+CGGA693+CGGA325
EFNB1,Immunity,34455959,TCGA+CGGA693+CGGA325
GAS1,Immunity,34455959,TCGA+CGGA693+CGGA325
HIST2H2BE,Immunity,34455959,TCGA+CGGA693+CGGA325
KLHL4,Immunity,34455959,TCGA+CGGA693+CGGA325
NXPH3,Immunity,34455959,TCGA+CGGA693+CGGA325
PIGZ,Immunity,34455959,TCGA+CGGA693+CGGA325
SIX6,Immunity,34455959,TCGA+CGGA693+CGGA325
TGFBI,Interferon-Gamma,34566988,TCGA
LUM,Interferon-Gamma,34566988,TCGA
ACP5,Iron Metabolism,34568059,TCGA
CH25H,Iron Metabolism,34568059,TCGA
CYP2D6,Iron Metabolism,34568059,TCGA
CYP2E1,Iron Metabolism,34568059,TCGA
FLVCR2,Iron Metabolism,34568059,TCGA
GCLC,Iron Metabolism,34568059,TCGA
HBQ1,Iron Metabolism,34568059,TCGA
LAMP2,Iron Metabolism,34568059,TCGA
NCOA4,Iron Metabolism,34568059,TCGA
RRM2,Iron Metabolism,34568059,TCGA
RTEL1,Iron Metabolism,34568059,TCGA
SCD5,Iron Metabolism,34568059,TCGA
UROS,Iron Metabolism,34568059,TCGA
COL1A1,Oxidative Stress,34836934,CGGA693+CGGA325
DHRS2,Oxidative Stress,34836934,CGGA693+CGGA325
DPEP1,Oxidative Stress,34836934,CGGA693+CGGA325
EZH2,Oxidative Stress,34836934,CGGA693+CGGA325
GATA4,Oxidative Stress,34836934,CGGA693+CGGA325
KCNC2,Oxidative Stress,34836934,CGGA693+CGGA325
MELK,Oxidative Stress,34836934,CGGA693+CGGA325
MMP3,Oxidative Stress,34836934,CGGA693+CGGA325
PTGS2,Oxidative Stress,34836934,CGGA693+CGGA325
TAT,Oxidative Stress,34836934,CGGA693+CGGA325
CASP3,Pyroptosis,35198000,TCGA
TP63,Pyroptosis,35198000,TCGA
CASP8,Pyroptosis,35198000,TCGA
CASP9,Pyroptosis,35198000,TCGA
PLCG1,Pyroptosis,35198000,TCGA
IL18,Pyroptosis,34876094,TCGA
CASP5,Pyroptosis,34876094,TCGA
CASP6,Pyroptosis,34876094,TCGA
ELANE,Pyroptosis,34876094,TCGA
IL6,Pyroptosis,34876094,TCGA
NLRP3,Pyroptosis,34876094,TCGA
NOD1,Pyroptosis,34876094,TCGA
NOD2,Pyroptosis,34876094,TCGA
PRKACA,Pyroptosis,34876094,TCGA
PYCARD,Pyroptosis,34876094,TCGA
IL1A,Pyroptosis,34876094,TCGA
CYCS,Pyroptosis,34876094,TCGA
BICC1,RNA Binding Protein,34733320,TCGA+GTEx
GNL3L,RNA Binding Protein,34733320,TCGA+GTEx
BRCA1,RNA-binding protein,34482648,TCGA
LARP4B,RNA-binding protein,34482648,TCGA
S100A11,S100 Family,34712325,TCGA
S100B,S101 Family,34712325,TCGA
S100PBP,S102 Family,34712325,TCGA
S100A13,S103 Family,34712325,TCGA
TNFSF4,TNF family,35000592,TCGA
CD70,TNF family,35000592,TCGA
TNFSF14,TNF family,35000592,TCGA
NGFR,TNF family,35000592,TCGA
TNFRSF11B,TNF family,35000592,TCGA
TNFRSF14,TNF family,35000592,TCGA
TNFRSF12A,TNF family,35000592,TCGA
,,,
